inline_count,external_count,onclick_count,onload_count,onchange_count,avg_inline_script_block,avg_external_script_block,avg_onclick_count,avg_onload_count,avg_onchange_count,avg_cyc_complexity,library_code_count,type
21,23,1,131,0,0,662.0625,30737,4,16,0.8125,13,alexa
13,30,2,4,1,0,55.77777778,2951,12,18,0.555555556,10,alexa
0,3,1,0,0,0,207,387,2,1,1,1,phish
21,11,1,10,1,0,104.8,1505,2,5,0.4,2,alexa
10,5,1,0,0,0,473,4121,2,3,1,3,alexa
3,2,1,0,0,0,1180.5,7567,0,2,0.5,1,phish
2,10,1,0,0,0,37.2,620,4,5,0.6,3,alexa
16,8,2,8,0,0,417.75,11796,0,8,1,8,alexa
4,11,1,120,0,0,613,9205,7,3,0.666666667,2,alexa
1,4,1,0,0,0,60,206,3,1,1,1,phish
10,19,1,0,0,0,246.7058824,12706,2,17,0.882352941,15,alexa
1,2,1,0,0,0,6766,26361,1,1,1,1,phish
8,18,2,0,0,0,217.9333333,13946,3,15,0.8,12,alexa
3,15,2,1,0,0,248.9090909,8940,4,11,0.454545455,5,alexa
32,35,2,0,0,0,615.5416667,37916,7,24,0.958333333,23,alexa
0,10,2,0,0,0,1244.375,33831,2,8,0.75,6,alexa
8,21,1,1,0,0,63.73333333,5250,6,15,0.4,6,alexa
1.5,6,2,0,0,0,0,0,0,0,0,0,phish
23,32.66666667,3,0,0,0,172.95,9082,15,20,0.85,17,alexa
26,40,1,0,0,0,351.3666667,39715,8,30,0.9,27,alexa
1,0,1,0,0,0,0,0,0,0,0,0,phish
3,5.5,2,0,0,0,1738,12067,2,4,0.75,3,alexa
6,17,3,0,5,0,222.4545455,6570,6,11,0.909090909,10,alexa
11,24,1,0,0,0,349.4285714,14761,8,14,0.571428571,8,phish
2,5,1,0,0,0,179.3333333,1816,2,3,0.666666667,2,alexa
25,37,1,72,0,0,240.5454545,7471,24,11,0.363636364,4,alexa
1,8,2,0,0,0,489.375,20103,4,8,0.875,7,alexa
4,22,2,6,0,0,277.1176471,16746,5,17,0.647058824,11,alexa
11,16,1,0,0,0,333.25,8580,2,12,0.416666667,5,alexa
7,3,2,0,0,2,521,1782,2,1,1,1,phish
12,11,1,0,0,0,769.8333333,13175,5,6,1,6,alexa
12,22,3,0,0,0,432.1111111,22731,5,18,0.944444444,17,alexa
4,22,2,15,0,0,146,6740,17,5,0.4,2,alexa
16,45,1,0,0,0,123.1,7819,24,20,0.7,14,alexa
8,11,3,1,0,0,373.7142857,8887,4,7,0.428571429,3,alexa
5,14,2,0,0,1,504.3,14647,4,10,1,10,alexa
5,13,2,0,0,0,224.8333333,4025,7,6,0.333333333,2,alexa
4,7,2,0,0,0,49.75,393,3,4,0.5,2,phish
2,1,1,1,0,0,76,261,0,1,1,1,phish
20,33,2,2,6,0,181,11229,3,20,0.85,17,alexa
